year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp
2001,12,609.0,20,4.5,24.1
2002,1,221.2,11,6.9,24.5
2002,2,50.8,2,7.4,24.5
2002,3,55.6,8,7.6,25.1
2002,4,116.5,13,6.6,25.6
2002,5,236.6,13,6.2,26.1
2002,6,83.1,12,6.3,26.0
2002,7,233.7,11,6.8,25.5
2002,8,54.2,14,6.7,25.6
2002,9,124.2,9,5.5,25.1
2002,10,10.8,7,6.2,25.7
2002,11,307.2,15,4.6,24.5
2002,12,255.0,24,4.8,24.7
2003,1,444.2,20,4.7,24.4
2003,2,172.9,13,5.8,24.4
2003,3,154.6,11,6.9,25.2
2003,4,159.9,20,5.1,25.3
2003,5,81.8,11,5.8,26.5
2003,6,50.3,12,7.0,26.0
2003,7,170.4,14,5.6,25.1
2003,8,193.6,13,6.1,25.5
2003,9,205.3,15,5.0,24.8
2003,10,351.4,21,5.1,24.5
2003,11,133.8,19,4.2,24.7
2003,12,273.0,17,3.9,24.3
2004,1,600.9,13,6.7,24.2
2004,2,31.9,4,7.7,24.7
2004,3,269.4,16,4.8,24.7
2004,4,57.1,9,7.0,26.1
2004,5,137.6,13,6.0,26.4
2004,6,127.2,8,6.3,26.1
2004,7,166.6,20,4.2,24.5
2004,8,185.2,8,7.3,25.4
2004,9,128.9,14,5.9,25.0
2004,10,125.6,13,5.0,25.0
2004,11,166.2,15,5.8,24.6
2004,12,139.8,14,4.9,24.5
2005,1,163.2,8,6.5,23.9
2005,2,8.4,3,9.1,25.3
2005,3,82.4,12,7.2,25.4
2005,4,81.7,10,7.0,25.7
2005,5,331.1,20,5.5,25.2
2005,6,82.3,15,5.4,26.1
2005,7,104.0,15,5.4,25.2
2005,8,58.5,13,6.5,25.5
2005,9,175.7,18,6.2,25.2
2005,10,314.5,19,5.1,24.7
2005,11,362.9,23,4.4,24.4
2005,12,166.0,19,4.5,24.6
2006,1,454.4,20,4.8,24.1
2006,2,115.5,8,7.4,24.8
2006,3,83.1,9,7.1,25.2
2006,4,239.8,18,5.3,24.8
2006,5,205.7,14,5.0,25.4
2006,6,236.8,16,5.5,25.1
2006,7,153.8,15,6.9,25.7
2006,8,127.3,14,6.7,25.5
2006,9,83.3,12,5.3,25.4
2006,10,102.0,8,4.8,25.4
2006,11,185.6,18,5.6,24.5
2006,12,765.9,22,3.2,24.3
2007,1,450.1,20,4.1,24.2
2007,2,105.5,3,7.6,24.5
